Timestamp,Motor1,Motor2,Motor3,Motor4
0.29792191700000004,1023,2048,2048,2049
0.32164188000000005,1023,2048,2048,2049
0.354801171,1023,2048,2048,2049
0.391528668,1023,2048,2048,2049
0.45683985200000005,1023,2048,2048,2049
0.48312574700000005,1023,2048,2048,2049
0.541810777,1023,2048,2048,2049
0.560211107,1023,2048,2048,2049
0.573526764,1023,2048,2048,2049
0.605969937,1023,2048,2048,2049
0.643395197,1023,2048,2048,2049
0.6660210480000001,1023,2048,2048,2049
0.691158601,1023,2048,2048,2049
0.7167442430000001,1023,2048,2048,2049
0.745280347,1023,2048,2048,2049
0.7603921680000001,1023,2048,2048,2049
0.78408387,1023,2048,2048,2049
0.8047819690000001,1023,2048,2048,2049
0.836450427,1023,2048,2048,2049
0.849250864,1023,2048,2048,2049
0.867870955,1023,2048,2048,2049
0.889673986,1023,2048,2048,2049
0.9109262450000001,1023,2048,2048,2049
0.9277334450000001,1023,2048,2048,2049
0.9406953910000001,1023,2048,2048,2049
0.9566675020000001,1023,2048,2048,2049
0.980207888,1023,2048,2048,2049
1.0034012220000001,1023,2048,2048,2049
1.019206328,1023,2048,2048,2049
1.0312457080000001,1023,2048,2048,2049
1.0545845090000001,1023,2048,2048,2049
1.077074512,1023,2048,2048,2049
1.08945932,1023,2048,2048,2049
1.111456095,1023,2048,2048,2049
1.133607797,1023,2048,2048,2049
1.146172087,1023,2048,2048,2049
1.158106228,1023,2048,2048,2049
1.181510869,1023,2048,2048,2049
1.199399797,1023,2048,2048,2049
1.210075665,1023,2048,2048,2049
1.230597006,1023,2048,2048,2049
1.2510670320000001,1023,2048,2048,2049
1.2716363860000002,1023,2048,2048,2049
1.292200751,1023,2048,2048,2049
1.312374394,1023,2048,2048,2049
1.3322087280000001,1023,2048,2048,2049
1.345062784,1023,2048,2048,2049
1.386108997,1023,2048,2048,2049
1.4075491720000002,1023,2048,2048,2049
1.4300050770000001,1023,2048,2048,2049
1.443735828,1023,2048,2048,2049
1.464692094,1023,2048,2048,2049
1.486929645,1023,2048,2048,2049
1.5090085930000001,1023,2048,2048,2049
1.5299438570000001,1023,2048,2048,2049
1.551085843,1023,2048,2048,2049
1.575803284,1023,2048,2048,2049
1.6075178280000002,1023,2048,2048,2049
1.6407630050000002,1023,2048,2048,2049
1.6540143170000001,1023,2048,2048,2049
1.677636562,1023,2048,2048,2049
1.714930553,1023,2048,2048,2049
1.7329298530000001,1023,2048,2048,2049
1.7557514660000002,1023,2048,2048,2049
1.790144404,1023,2048,2048,2049
1.80234578,1023,2048,2048,2049
1.8249573620000001,1023,2048,2048,2049
1.846950123,1023,2048,2048,2049
1.8683788410000002,1023,2048,2048,2049
1.8908128480000002,1023,2048,2048,2049
1.912728728,1023,2048,2048,2049
1.9343506330000002,1023,2048,2048,2049
1.946087933,1023,2048,2048,2049
1.96694969,1023,2048,2048,2049
1.987487089,1023,2048,2048,2049
2.008985752,1023,2048,2048,2049
2.031810291,1023,2048,2048,2049
2.054450434,1023,2048,2048,2049
2.0767489830000003,1023,2048,2048,2049
2.089081814,1023,2048,2048,2049
2.112677573,1023,2048,2048,2049
2.147204253,1023,2048,2048,2049
2.171654145,1023,2048,2048,2049
2.186129605,1023,2048,2048,2049
2.208379377,1023,2048,2048,2049
2.2305981960000003,1023,2048,2048,2049
2.252044375,1023,2048,2048,2049
2.275320458,1023,2048,2048,2049
2.300060496,1023,2048,2048,2049
2.318940264,1023,2048,2048,2049
2.341223815,1023,2048,2048,2049
2.367661055,1023,2048,2048,2049
2.386055883,1023,2048,2048,2049
2.400826393,1023,2048,2048,2049
2.4164250920000003,1023,2048,2048,2049
2.428149572,1023,2048,2048,2049
2.4499050490000003,1023,2048,2048,2049
2.4709955860000004,1023,2048,2048,2049
2.4929783850000002,1023,2048,2048,2049
2.5153230310000003,1023,2048,2048,2049
2.5381024880000003,1023,2048,2048,2049
2.560930776,1023,2048,2048,2049
2.5807380440000003,1023,2048,2048,2049
2.6000071200000003,1023,2048,2048,2049
2.630265522,1023,2048,2048,2049
2.649902017,1023,2048,2048,2049
2.669481443,1023,2048,2048,2049
2.6901411750000004,1023,2048,2048,2049
2.704870371,1023,2048,2048,2049
2.728518614,1023,2048,2048,2049
2.7493998630000003,1023,2048,2048,2049
2.760614785,1023,2048,2048,2049
2.780487189,1023,2048,2048,2049
2.801291926,1023,2048,2048,2049
2.824646297,1023,2048,2048,2049
2.835539614,1023,2048,2048,2049
2.8556759940000003,1023,2048,2048,2049
2.8856154590000003,1023,2048,2048,2049
2.9174660290000003,1023,2048,2048,2049
2.9371259210000003,1023,2048,2048,2049
2.957873129,1023,2048,2048,2049
2.97472139,1023,2048,2048,2049
2.987167909,1023,2048,2048,2049
3.0071007020000002,1023,2048,2048,2049
3.027752188,1023,2048,2048,2049
3.0448966420000003,1023,2048,2048,2049
3.0827456300000002,1023,2048,2048,2049
3.106769315,1023,2048,2048,2049
3.121323449,1023,2048,2048,2049
3.1424174710000004,1023,2048,2048,2049
3.1634160880000004,1023,2048,2048,2049
3.1841969060000004,1023,2048,2048,2049
3.1960016490000003,1023,2048,2048,2049
3.235379249,1023,2048,2048,2049
3.2578007760000003,1023,2048,2048,2049
3.2771103060000004,1023,2048,2048,2049
3.2968474760000004,1023,2048,2048,2049
3.317041311,1023,2048,2048,2049
3.347739089,1023,2048,2048,2049
3.3790824350000004,1023,2048,2048,2049
3.391104824,1023,2048,2048,2049
3.4027350910000003,1023,2048,2048,2049
3.426889044,1023,2048,2048,2049
3.447843542,1023,2048,2048,2049
3.4691477920000002,1023,2048,2048,2049
3.4903502960000004,1023,2048,2048,2049
3.511153542,1023,2048,2048,2049
3.53248072,1023,2048,2048,2049
3.554304445,1023,2048,2048,2049
3.5761065490000004,1023,2048,2048,2049
3.5988789100000003,1023,2048,2048,2049
3.639818876,1023,2048,2048,2049
3.6655507330000003,1023,2048,2048,2049
3.6915209370000004,1023,2048,2048,2049
3.705948315,1023,2048,2048,2049
3.731813949,1023,2048,2048,2049
3.7453583220000004,1023,2048,2048,2049
3.769160552,1023,2048,2048,2049
3.7823555110000004,1023,2048,2048,2049
3.804727429,1023,2048,2048,2049
3.8264943450000004,1023,2048,2048,2049
3.8477709480000004,1023,2048,2048,2049
3.8692368700000004,1023,2048,2048,2049
3.8906861630000003,1023,2048,2048,2049
3.912646435,1023,2048,2048,2049
3.9348360330000003,1023,2048,2048,2049
3.9510703530000004,1023,2048,2048,2049
3.972726354,1023,2048,2048,2049
3.9939221220000003,1023,2048,2048,2049
4.0147734690000005,1023,2048,2048,2049
4.037788681,1023,2048,2048,2049
4.058507696,1023,2048,2048,2049
4.0798118180000005,1023,2048,2048,2049
4.1011034120000005,1023,2048,2048,2049
4.113402629,1023,2048,2048,2049
4.154482006,1023,2048,2048,2049
4.173365757,1023,2048,2048,2049
4.205460762,1023,2048,2048,2049
4.217763801,1023,2048,2048,2049
4.239254084000001,1023,2048,2048,2049
4.262322511000001,1023,2048,2048,2049
4.278759533000001,1023,2048,2048,2049
4.294177751,1023,2048,2048,2049
4.325623666,1023,2048,2048,2049
4.347092004,1023,2048,2048,2049
4.361207945,1023,2048,2048,2049
4.3834180730000005,1023,2048,2048,2049
4.396951197,1023,2048,2048,2049
4.418080426,1023,2048,2048,2049
4.4396024810000005,1023,2048,2048,2049
4.460762109,1023,2048,2048,2049
4.473490663000001,1023,2048,2048,2049
4.495731729,1023,2048,2048,2049
4.5173043,1023,2048,2048,2049
4.52951398,1023,2048,2048,2049
4.551996643,1023,2048,2048,2049
